"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"120","92260","33105","Palm Desert Fire Service","44-400 Town Center WAY","Palm Desert","CA","44-400 Town Center WAY Palm Desert, CA 92260",33.715672,-116.38496,c(-116.38496, 33.715672)
"121","92262","33065","Palm Springs Fire Department","300 N El Cielo RD","Palm Springs","CA","300 N El Cielo RD Palm Springs, CA 92262",33.842984,-116.54344,c(-116.54344, 33.842984)
"122","92268","","Pioneertown Station 38","5380 Mountain View","Pioneertown","CA","5380 Mountain View Pioneertown, CA 92268",34.203249,-116.56565,c(-116.56565, 34.203249)
"123","92270","33110","Rancho Mirage Fire Service","70-801 HWY 111","Rancho Mirage","CA","70-801 HWY 111 Rancho Mirage, CA 92270",33.762944,-116.42249,c(-116.42249, 33.762944)
"124","92275","13050","Salton Community Services District Fire Dept","2152 Riviera CT","Salton City","CA","2152 Riviera CT Salton City, CA 92275",33.289347,-115.9565,c(-115.9565, 33.289347)
"125","92277","36245","Wonder Valley Fire Department","80526 Amboy RD","Twentynine Palms","CA","80526 Amboy RD Twentynine Palms, CA 92277",34.165696,-116.03343,c(-116.03343, 34.165696)
"126","92277","36210","Twentynine Palms Fire Department","6560 Adobe RD","Twentynine Palms","CA","6560 Adobe RD Twentynine Palms, CA 92277",34.165696,-116.03343,c(-116.03343, 34.165696)
"127","92278","36825","Combat Center Fire Department","13TH ST","Twentynine Palms","CA","13TH ST Twentynine Palms, CA 92278",34.360235,-116.20964,c(-116.20964, 34.360235)
"128","92281","13060","Westmorland Fire Department","230 W Main ST","Westmorland","CA","230 W Main ST Westmorland, CA 92281",33.037061,-115.6194,c(-115.6194, 33.037061)
"129","92283","13065","Winter Haven Fire Protection District","495 S Third AVE","Winter Haven","CA","495 S Third AVE Winter Haven, CA 92283",32.786759,-114.62591,c(-114.62591, 32.786759)
"130","92307","36017","Fairview Valley Fire Department","15215 Sherri LN","Apple Valley","CA","15215 Sherri LN Apple Valley, CA 92307",34.538622,-117.17729,c(-117.17729, 34.538622)
"131","92307","36015","Apple Valley Fire Protection District","22400 Headquarters AVE","Apple Valley","CA","22400 Headquarters AVE Apple Valley, CA 92307",34.538622,-117.17729,c(-117.17729, 34.538622)
"132","92310","36750","Fort Irwin Fire Department","BLDG 6101 Southloop RD","Fort Irwin","CA","BLDG 6101 Southloop RD Fort Irwin, CA 92310",35.262763,-116.69452,c(-116.69452, 35.262763)
"133","92311","36035","Barstow Fire Protection District","861 Barstow RD","Barstow","CA","861 Barstow RD Barstow, CA 92311",34.894181,-117.03636,c(-117.03636, 34.894181)
"134","92311","36820","Fire & Emergency Services, MCLB Barstow","236 Boll AVE","Barstow","CA","236 Boll AVE Barstow, CA 92311",34.894181,-117.03636,c(-117.03636, 34.894181)
